# Generated by scripts/recompute_retrieval_stats.py Phase 2.5 - supersedes exp8_stats_corrected.csv
# Source JSON: experiments/results/exp8/retrieval_metrics.json
# Correction family: 12 tests (4 metrics x 3 pairs), BH-FDR + Holm, alpha=0.05
# cohens_d_z = mean_diff_b_minus_a / std_diff (paired, ddof=1); d_av / d_rm / r derived per Lakens 2013
metric,system_a,system_b,pair,n,mean_a,mean_b,std_a,std_b,mean_diff_b_minus_a,std_diff_derived,r_derived,cohens_d_z,d_av_derived,d_rm_derived,d_z_label,p_raw,p_bh,sig_bh,p_holm,sig_holm,correction_family_size,ci_95_lower,ci_95_upper,test,significant_raw,meets_thresh_d_z
ndcg@5,RAG Lexico (BM25),RAG Semantico (Dense),RAG Lexico (BM25) vs RAG Semantico (Dense),200,0.5545,0.6606,0.3211,0.2795,0.10609999999999997,0.38736765242789334,0.17366377458358337,0.2739,0.35331335331335323,0.35211572954803455,small,0.0003209903143022831,0.0005502691102324853,True,0.0019259418858136985,True,12,0.0523,0.1586,wilcoxon_signed_rank,True,False
ndcg@5,RAG Lexico (BM25),RAG Hibrido Propuesto,RAG Lexico (BM25) vs RAG Hibrido Propuesto,200,0.5545,0.7362,0.3211,0.2575,0.18169999999999997,0.36173601433406327,0.2331700552028759,0.5023,0.6280677497407534,0.622053456871228,medium,1.8340134184249823e-11,1.1004080510549895e-10,True,2.0174147602674807e-10,True,12,0.1322,0.2318,wilcoxon_signed_rank,True,True
ndcg@5,RAG Semantico (Dense),RAG Hibrido Propuesto,RAG Semantico (Dense) vs RAG Hibrido Propuesto,200,0.6606,0.7362,0.2795,0.2575,0.0756,0.3229389149935925,0.2788402117704031,0.2341,0.28156424581005585,0.28114616431310896,small,0.0008738227979004291,0.0013107341968506437,True,0.004369113989502146,True,12,0.0316,0.1205,wilcoxon_signed_rank,True,False
avg_score@5,RAG Lexico (BM25),RAG Semantico (Dense),RAG Lexico (BM25) vs RAG Semantico (Dense),200,1.9026,2.4003,2.7231,2.806,0.49770000000000003,2.17907180385289,0.6897349840015644,0.2284,0.1800292995243349,0.17991919615751595,small,0.018709555764484465,0.018709555764484465,True,0.03029339392331578,True,12,0.2053,0.7979,wilcoxon_signed_rank,True,False
avg_score@5,RAG Lexico (BM25),RAG Hibrido Propuesto,RAG Lexico (BM25) vs RAG Hibrido Propuesto,200,1.9026,2.8785,2.7231,2.5189,0.9758999999999998,1.9463502193857196,0.7268943554016831,0.5014,0.3723388019839755,0.370565228641545,medium,1.1138818567750779e-11,1.1004080510549895e-10,True,1.3366582281300935e-10,True,12,0.7127,1.2417,wilcoxon_signed_rank,True,True
avg_score@5,RAG Semantico (Dense),RAG Hibrido Propuesto,RAG Semantico (Dense) vs RAG Hibrido Propuesto,200,2.4003,2.8785,2.806,2.5189,0.47819999999999974,1.3072717331875334,0.8849373734997391,0.3658,0.17960900674191058,0.17547927871663008,small,3.412881064008461e-07,1.0238643192025384e-06,True,3.0715929576076146e-06,True,12,0.3008,0.6622,wilcoxon_signed_rank,True,False
precision@5,RAG Lexico (BM25),RAG Semantico (Dense),RAG Lexico (BM25) vs RAG Semantico (Dense),200,0.718,0.782,0.3445,0.3035,0.06400000000000006,0.29725963771481684,0.5854733373614356,0.2153,0.19753086419753108,0.196035742798846,small,0.0028392795787627926,0.003785706105017057,True,0.01135711831505117,True,12,0.022,0.105,wilcoxon_signed_rank,True,False
precision@5,RAG Lexico (BM25),RAG Hibrido Propuesto,RAG Lexico (BM25) vs RAG Hibrido Propuesto,200,0.718,0.851,0.3445,0.269,0.133,0.28088701161562835,0.6050670747737514,0.4735,0.4335778321108395,0.4208202714575587,small,1.00779161178404e-09,4.03116644713616e-09,True,1.00779161178404e-08,True,12,0.094,0.171,wilcoxon_signed_rank,True,False
precision@5,RAG Semantico (Dense),RAG Hibrido Propuesto,RAG Semantico (Dense) vs RAG Hibrido Propuesto,200,0.782,0.851,0.3035,0.269,0.06899999999999995,0.2255639097744359,0.6956889119336988,0.3059,0.24104803493449764,0.23864556248418872,small,3.067782406940059e-05,6.135564813880119e-05,True,0.00021474476848580416,True,12,0.038,0.1,wilcoxon_signed_rank,True,False
mrr,RAG Lexico (BM25),RAG Semantico (Dense),RAG Lexico (BM25) vs RAG Semantico (Dense),200,0.8283,0.8937,0.3395,0.2761,0.06540000000000001,0.33538461538461545,0.42144246558184767,0.195,0.21247563352826515,0.20976010224182406,negligible,0.00615919260607964,0.007391031127295568,True,0.018477577818238923,True,12,0.0184,0.1115,wilcoxon_signed_rank,True,False
mrr,RAG Lexico (BM25),RAG Hibrido Propuesto,RAG Lexico (BM25) vs RAG Hibrido Propuesto,200,0.8283,0.9424,0.3395,0.217,0.11409999999999998,0.29690346083788705,0.5035704780171796,0.3843,0.4100628930817609,0.38292540692416993,small,4.54641486082214e-06,1.0911395665973136e-05,True,3.637131888657712e-05,True,12,0.0742,0.155,wilcoxon_signed_rank,True,False
mrr,RAG Semantico (Dense),RAG Hibrido Propuesto,RAG Semantico (Dense) vs RAG Hibrido Propuesto,200,0.8937,0.9424,0.2761,0.217,0.048699999999999966,0.26295896328293716,0.4520902033187978,0.1852,0.19752585682417345,0.19386995658306844,negligible,0.01514669696165789,0.016523669412717698,True,0.03029339392331578,True,12,0.0133,0.0864,wilcoxon_signed_rank,True,False
